species,w_inf,w_mat,beta,sigma,R_max,k_vb
Alosa pseudoharengus,2098.697041,238.0763806,68439,3.2,500000,0.255124913
Alosa sapidissima,1123.037048,154.745418,2548888.996,3.2,500000,0.279531475
Ammodytes dubius,32.30627007,9.456497332,398849,1.9,2.50E+11,0.351157669
Anchoa mitchilli,14.5866243,4.027883758,68439,3.2,30000000,1.049273917
Clupea harengus,201.9150057,57.91719467,280540,3.2,240000000,0.374240709
Gadus morhua,16300.42281,4694.601187,85,2.1,5130000,0.194830007
Glyptocephalus cynoglossus,807.7234859,244.6894659,191,1.9,12000000,0.14483376
Limanda ferruginea,263.023758,74.35029305,191,1.9,5800000,0.329560705
Lophius americanus,29384.12047,9140.498248,28,1.7,11700000,0.138338403
Melanogrammus aeglefinus,3025.301512,850.3603922,558,2.1,3200000,0.213633223
Merluccius bilinearis,1199.687406,337.2115636,19,2.3,200000000,0.324030057
Myoxocephalus octodecemspinosus,1126.362112,331.5166575,77,2,680000,0.395191536
Paralichthys dentatus,9235.47636,2568.671211,593,2.9,42000000,0.164394105
Pseudopleuronectes americanus,1907.207689,580.1465585,191,1.9,3300000,0.291915141
Rostroraja eglanteria,7770.918707,5653.47782,278,1.6,27000000,0.105753399
Squalus acanthias,6449.565472,1267.612055,185,1.9,1500,0.084832152
Urophycis chuss,10058.62291,2703.342121,193,2.2,4000000,0.159351277
Urophycis tenuis,10880.21549,2970.063601,32,3.4,4000000,0.160608823
Zoarces americanus,403.7767766,118.8254382,191,1.9,NA,0.207595784
