time,rcp2013,rcp45,rcp85,rcp45_nointer,rcp45_nolife,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp85,res_rcp45_nointer,res_rcp45_nolife,res_rcp85_nointer,res_rcp85_nolife,,,res_2013,res_rcp45,res_rcp85,res_rcp45_nointer,res_rcp45_nolife,res_rcp85_nointer,res_rcp85_nolife
0,1,1,1,1,1,1,1,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,in year,100.1826802,100.6067215,100.1271799,100.1301777,100.1471734,100.1272476,100.1272653
0.1,1.005924287,1.003840642,1.004415063,1.005243878,1.005360536,1.004518053,1.003450936,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,in month,1202.192162,1207.280658,1201.526159,1201.562132,1201.766081,1201.526971,1201.527183
0.2,1.006237554,1.003944162,1.004505349,1.005368711,1.005452119,1.004610907,1.003508381,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.3,1.006507753,1.004024562,1.00456952,1.005459041,1.005522389,1.004677029,1.003554165,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.4,1.006771021,1.004092215,1.004619432,1.005530452,1.005584501,1.004728556,1.003594935,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.5,1.007025676,1.004145847,1.004653429,1.005580849,1.005637805,1.004763762,1.003630474,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.6,1.007269005,1.004183895,1.004669588,1.005607898,1.005681354,1.004780656,1.003660254,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.7,1.007498266,1.004204946,1.00466622,1.005609611,1.005714251,1.004777486,1.003683735,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.8,1.00771083,1.004207873,1.004642041,1.00558453,1.005735694,1.004752916,1.0037004,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
0.9,1.007904228,1.004191932,1.004596312,1.005531883,1.005744974,1.004706168,1.003709757,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1,1.008076209,1.004156864,1.00452896,1.005451712,1.005741482,1.004637148,1.003711345,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.1,1.00822479,1.004102971,1.004440655,1.005344956,1.005724714,1.004546527,1.003704737,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.2,1.008348321,1.004031158,1.004332831,1.005213468,1.005694281,1.004435761,1.003689558,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.3,1.00844555,1.003942916,1.004207635,1.005059942,1.005649934,1.004307041,1.003665501,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.4,1.008515669,1.003840261,1.004067799,1.004887762,1.005591583,1.004163161,1.003632353,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.5,1.008558356,1.003725604,1.003916457,1.004700785,1.005519324,1.004007334,1.003590018,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.6,1.008573783,1.003601605,1.003756939,1.004503087,1.005433459,1.003842975,1.003538541,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.7,1.008562601,1.003470999,1.00359255,1.004298709,1.005334517,1.003673479,1.00347813,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.8,1.008525896,1.003336436,1.003426377,1.004091426,1.005223255,1.003502022,1.00340916,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
1.9,1.008465127,1.003200342,1.003261138,1.003884569,1.005100659,1.003331405,1.00333218,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2,1.008382045,1.003064825,1.003099086,1.003680913,1.004967923,1.003163952,1.003247904,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.1,1.008278602,1.002931606,1.002941961,1.003482624,1.004826419,1.003001466,1.003157189,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.2,1.008156862,1.002802013,1.002790999,1.003291262,1.004677659,1.002845229,1.00306101,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.3,1.008018923,1.002676983,1.002646967,1.003107834,1.00452324,1.002696046,1.002960424,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.4,1.00786684,1.002557114,1.002510234,1.002932872,1.004364798,1.002554314,1.002856529,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.5,1.007702575,1.00244271,1.002380853,1.002766526,1.00420395,1.002420101,1.002750429,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.6,1.007527957,1.002333847,1.002258635,1.002608663,1.004042244,1.002293231,1.002643194,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.7,1.007344657,1.002230436,1.002143233,1.002458952,1.003881119,1.00217336,1.002535824,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.8,1.007154178,1.00213227,1.002034204,1.002316943,1.003721869,1.002060045,1.00242923,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
2.9,1.006957859,1.002039077,1.001931061,1.002182128,1.003565617,1.001952796,1.002324205,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3,1.006756879,1.001950553,1.001833312,1.002053988,1.003413304,1.001851121,1.00222142,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.1,1.006552275,1.001866389,1.001740488,1.001932021,1.003265681,1.001754544,1.002121414,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.2,1.006344954,1.001786286,1.00165216,1.001815766,1.003123316,1.001662632,1.0020246,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.3,1.006135715,1.00170997,1.001567946,1.001704812,1.002986606,1.001574999,1.001931268,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.4,1.00592526,1.001637197,1.001487513,1.001598798,1.002855791,1.001491309,1.001841602,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.5,1.005714216,1.001567751,1.001410579,1.001497419,1.002730976,1.001411274,1.001755685,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.6,1.005503142,1.001501445,1.001336903,1.001400413,1.002612151,1.001334651,1.001673525,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.7,1.005292543,1.001438119,1.001266286,1.001307562,1.002499213,1.001261237,1.001595061,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.8,1.005082879,1.001377636,1.001198558,1.001218685,1.002391989,1.001190862,1.001520183,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
3.9,1.004874573,1.00131988,1.00113358,1.001133627,1.002290251,1.001123383,1.001448748,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4,1.004668015,1.001264749,1.001071232,1.00105226,1.002193738,1.001058679,1.001380585,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.1,1.00446357,1.001212156,1.001011413,1.000974472,1.002102166,1.000996647,1.001315512,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.2,1.004261577,1.001162022,1.000954036,1.000900167,1.002015241,1.000937197,1.001253342,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.3,1.004062357,1.001114277,1.000899022,1.000829257,1.001932669,1.000880249,1.001193889,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.4,1.003866212,1.001068858,1.000846302,1.000761664,1.001854161,1.000825732,1.001136976,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.5,1.003673425,1.001025706,1.000795809,1.000697314,1.001779443,1.000773578,1.001082433,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.6,1.003484268,1.000984763,1.000747482,1.000636135,1.001708253,1.000723725,1.001030105,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.7,1.003298995,1.000945974,1.000701264,1.000578057,1.001640346,1.00067611,1.000979851,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.8,1.003117848,1.000909287,1.000657097,1.000523011,1.001575496,1.000630676,1.000931542,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
4.9,1.002941057,1.000874648,1.000614926,1.000470927,1.001513495,1.000587363,1.000885065,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
