time,sp,w,value,scenario
100,Alosa pseudoharengus,0.001,393643533.8647685,rcp2013
100,Alosa sapidissima,0.001,77689286.98062588,rcp2013
100,Ammodytes dubius,0.001,12400453847.180616,rcp2013
100,Anchoa mitchilli,0.001,4077515.896787804,rcp2013
100,Clupea harengus,0.001,1060870141177.8838,rcp2013
100,Gadus morhua,0.001,250720546.36737323,rcp2013
100,Glyptocephalus cynoglossus,0.001,22439786929.85773,rcp2013
100,Limanda ferruginea,0.001,30429125009.436897,rcp2013
100,Lophius americanus,0.001,3280073.3330893517,rcp2013
100,Melanogrammus aeglefinus,0.001,2605477707.652132,rcp2013
100,Merluccius bilinearis,0.001,3327280075.933746,rcp2013
100,Myoxocephalus octodecemspinosus,0.001,50776539.77391951,rcp2013
100,Paralichthys dentatus,0.001,138954516.2785903,rcp2013
100,Pseudopleuronectes americanus,0.001,382346303.1471592,rcp2013
100,Rostroraja eglanteria,0.001,193072.36070872558,rcp2013
100,Squalus acanthias,0.001,73641343163.16104,rcp2013
100,Urophycis chuss,0.001,24145167.93766105,rcp2013
100,Urophycis tenuis,0.001,85063761.43091813,rcp2013
100,Zoarces americanus,0.001,2613404983.273354,rcp2013
100,Alosa pseudoharengus,0.00119,349855642.52874047,rcp2013
100,Alosa sapidissima,0.00119,68945330.39265469,rcp2013
100,Ammodytes dubius,0.00119,10924522872.084366,rcp2013
100,Anchoa mitchilli,0.00119,3633993.8683387754,rcp2013
100,Clupea harengus,0.00119,939342301656.0613,rcp2013
100,Gadus morhua,0.00119,223172530.82028836,rcp2013
100,Glyptocephalus cynoglossus,0.00119,19842916074.002724,rcp2013
100,Limanda ferruginea,0.00119,26970092887.672802,rcp2013
100,Lophius americanus,0.00119,2915732.3160624276,rcp2013
100,Melanogrammus aeglefinus,0.00119,2313190886.960955,rcp2013
100,Merluccius bilinearis,0.00119,2955742318.9685936,rcp2013
100,Myoxocephalus octodecemspinosus,0.00119,45140527.93391224,rcp2013
100,Paralichthys dentatus,0.00119,123911085.00812604,rcp2013
100,Pseudopleuronectes americanus,0.00119,340004382.03573567,rcp2013
100,Rostroraja eglanteria,0.00119,172114.55106246792,rcp2013
100,Squalus acanthias,0.00119,65156003129.55221,rcp2013
100,Urophycis chuss,0.00119,21461386.309323423,rcp2013
100,Urophycis tenuis,0.00119,75619780.66960749,rcp2013
100,Zoarces americanus,0.00119,2311919876.4020157,rcp2013
100,Alosa pseudoharengus,0.00142,310911062.1123275,rcp2013
100,Alosa sapidissima,0.00142,61187540.30509936,rcp2013
100,Ammodytes dubius,0.00142,9620074070.034172,rcp2013
100,Anchoa mitchilli,0.00142,3238628.8154493975,rcp2013
100,Clupea harengus,0.00142,831578184673.7397,rcp2013
100,Gadus morhua,0.00142,198641058.01028955,rcp2013
100,Glyptocephalus cynoglossus,0.00142,17541602077.622337,rcp2013
100,Limanda ferruginea,0.00142,23899303882.04631,rcp2013
100,Lophius americanus,0.00142,2591618.093523656,rcp2013
100,Melanogrammus aeglefinus,0.00142,2053408069.1527333,rcp2013
100,Merluccius bilinearis,0.00142,2625364770.816898,rcp2013
100,Myoxocephalus octodecemspinosus,0.00142,40126169.74960498,rcp2013
100,Paralichthys dentatus,0.00142,110496548.04963642,rcp2013
100,Pseudopleuronectes americanus,0.00142,302325027.34783405,rcp2013
100,Rostroraja eglanteria,0.00142,153431.6262917266,rcp2013
100,Squalus acanthias,0.00142,57633499360.664734,rcp2013
100,Urophycis chuss,0.00142,19074013.442901783,rcp2013
100,Urophycis tenuis,0.00142,67217906.66316848,rcp2013
100,Zoarces americanus,0.00142,2044660213.326844,rcp2013
100,Alosa pseudoharengus,0.00168,276277858.05331993,rcp2013
100,Alosa sapidissima,0.00168,54304088.81802323,rcp2013
100,Ammodytes dubius,0.00168,8467774480.396714,rcp2013
100,Anchoa mitchilli,0.00168,2886183.921293473,rcp2013
100,Clupea harengus,0.00168,736038907416.4127,rcp2013
100,Gadus morhua,0.00168,176797278.73082253,rcp2013
100,Glyptocephalus cynoglossus,0.00168,15502920745.455692,rcp2013
100,Limanda ferruginea,0.00168,21173874767.50083,rcp2013
100,Lophius americanus,0.00168,2303325.2253121645,rcp2013
100,Melanogrammus aeglefinus,0.00168,1822556643.4841993,rcp2013
100,Merluccius bilinearis,0.00168,2331634101.6208267,rcp2013
100,Myoxocephalus octodecemspinosus,0.00168,35665456.64660528,rcp2013
100,Paralichthys dentatus,0.00168,98534371.99153773,rcp2013
100,Pseudopleuronectes americanus,0.00168,268798553.3427485,rcp2013
100,Rostroraja eglanteria,0.00168,136776.56343122036,rcp2013
100,Squalus acanthias,0.00168,50966735864.126656,rcp2013
100,Urophycis chuss,0.00168,16950586.947923817,rcp2013
100,Urophycis tenuis,0.00168,59744077.23315372,rcp2013
100,Zoarces americanus,0.00168,1807819799.8986456,rcp2013
100,Alosa pseudoharengus,0.002,245482165.91475248,rcp2013
100,Alosa sapidissima,0.002,48195978.664564885,rcp2013
100,Ammodytes dubius,0.002,7450395484.117511,rcp2013
100,Anchoa mitchilli,0.002,2571994.4322735965,rcp2013
100,Clupea harengus,0.002,651355731953.7621,rcp2013
100,Gadus morhua,0.002,157348006.34477514,rcp2013
100,Glyptocephalus cynoglossus,0.002,13697522869.913042,rcp2013
100,Limanda ferruginea,0.002,18755571044.539597,rcp2013
100,Lophius americanus,0.002,2046926.2160370837,rcp2013
100,Melanogrammus aeglefinus,0.002,1617451355.6781168,rcp2013
100,Merluccius bilinearis,0.002,2070526106.7276642,rcp2013
100,Myoxocephalus octodecemspinosus,0.002,31697749.8227072,rcp2013
100,Paralichthys dentatus,0.002,87867165.80732414,rcp2013
100,Pseudopleuronectes americanus,0.002,238970515.6964629,rcp2013
100,Rostroraja eglanteria,0.002,121929.17070786456,rcp2013
100,Squalus acanthias,0.002,45060246676.92394,rcp2013
100,Urophycis chuss,0.002,15062164.773712954,rcp2013
100,Urophycis tenuis,0.002,53096598.80315981,rcp2013
100,Zoarces americanus,0.002,1598005515.6701458,rcp2013
100,Alosa pseudoharengus,0.00238,218101844.71518347,rcp2013
100,Alosa sapidissima,0.00238,42775537.3461787,rcp2013
100,Ammodytes dubius,0.00238,6552590092.148206,rcp2013
100,Anchoa mitchilli,0.00238,2291904.5953713553,rcp2013
100,Clupea harengus,0.00238,576311232278.3405,rcp2013
100,Gadus morhua,0.00238,140031862.3984215,rcp2013
100,Glyptocephalus cynoglossus,0.00238,12099253802.833809,rcp2013
100,Limanda ferruginea,0.00238,16610309919.276083,rcp2013
100,Lophius americanus,0.00238,1818919.9956532037,rcp2013
100,Melanogrammus aeglefinus,0.00238,1435252710.7127542,rcp2013
100,Merluccius bilinearis,0.00238,1838453123.1801603,rcp2013
100,Myoxocephalus octodecemspinosus,0.00238,28168986.748377375,rcp2013
100,Paralichthys dentatus,0.00238,78354604.41178207,rcp2013
100,Pseudopleuronectes americanus,0.00238,212435758.63772923,rcp2013
100,Rostroraja eglanteria,0.00238,108693.17256505259,rcp2013
100,Squalus acanthias,0.00238,39828956307.15588,rcp2013
100,Urophycis chuss,0.00238,13382946.014327135,rcp2013
100,Urophycis tenuis,0.00238,47184813.517197855,rcp2013
