size,abundance
1.0415332301561167e-5,57197799714827990
1.2414135226282805e-5,47564131753946336
1.4796527749127643e-5,39552721940501200
1.7636124421069424e-5,32890437214925164
2.1020667136840903e-5,27350125304399056
2.505473630873086e-5,22742874479161108
2.9862982340834334e-5,18911576281816672
3.559397725444093e-5,15725571881746838
4.242480547755848e-5,13076199633672552
5.056653565131191e-5,10873092129948324
6.027074252887195e-5,9041096576660198
7.1837280489816e-5,7517713564374560
8.562354886702066e-5,6250966969214656
1.020555353793276e-4,5197632410801506
1.2164097890566174e-4,4321763911126503
1.4498505832271456e-4,3593468559004920.5
1.728090921821949e-4,2987887434691426
2.059728270368654e-4,2484348076525900.5
2.4550100311174303e-4,2065659615652465
2.9261501818433867e-4,1717526565121555.2
3.487706680695237e-4,1428061291715751.5
4.1570312986817276e-4,1187378560411366.2
4.954805779359498e-4,987258337077026.25
5.905680892746611e-4,820865360100732.9
7.039038129858016e-4,682515925364169.1
8.389897573783613e-4,567483937238639.75
0.001,471840094314772.44
0.0011919096642189727,392315869841760.25
0.0014206486476585844,326194753195522.3
0.0016932848526038827,271217654736372.6
0.0020182425800941662,225506217347538.28
0.002405562835952471,187498667877769.66
0.0028672135920577496,155896472970733.44
0.003417459589753627,129619980075965.44
0.004073303112105158,107771530683622.28
0.0048550093446113555,89604787527757.8
0.005786732557715695,74499229334151.48
0.0068972624597919184,61938942863307.57
0.008220913782480703,51494988517816.46
0.009798586586049709,42810737636940.72
0.01167903004759904,35589680941384.57
0.01392034878243707,29585291870532.05
0.016591798243085557,24592598644801.12
0.019775924672705045,20441177175659.836
0.02357111573626358,16989325421846.188
0.02809464064247647,14119220104636.29
0.03348627369452685,11732890221760.62
0.03991261323518811,9748869681634.0625
0.047572229439254814,8099414567429.819
0.05670180001709014,6728189824673.579
0.06758342341898124,5588346203851.259
0.08055333551408664,4640921627692.521
0.09601229908431325,3853512245903.8936
0.11443798716247544,3199167666169.919
0.13639974285272122,2655472523496.9688
0.16257617170314118,2203782931734.877
0.19377611022469723,1828591668614.7244
0.23096361847157754,1517000359502.2224
0.2752877689392569,1258280595466.7874
0.32811815223997987,1043508973102.185
0.3910871966605041,865263580697.3745
0.4661406092519613,717371564291.846
0.5555974970523325,594699159811.6328
0.6622220261525474,492977033780.0751
0.7893088328298905,408654984926.96313
0.9407848259033451,338781063941.9954
1.1213305259447608,280901003252.19336
1.3365246906573038,232974541876.53088
1.5930166952617133,193305806128.6107
1.8987319943446064,160485385135.69363
2.2631170138211023,133342137598.06407
2.6974310400317547,110903096985.87
3.2150941251780827,92360121120.93295
3.8321017591734003,77042182974.65312
4.567519121029303,64392459624.49084
5.444070181859779,53949928436.86073
6.488839862445011,45338732308.42055
7.7341109416175176,38284082979.64842
9.218361575455619,32702347658.15062
10.987454250050387,5617082745.324407
13.096052905798894,5828518126.420972
15.609312021544678,5476290976.979165
18.604889850288473,4973349588.898367
22.17534801428833,4540036909.810171
26.43101160564924,4304340848.479462
31.50337816785719,4223458987.001636
37.54918089381402,4094677194.3758516
44.75523159084328,4022484464.8623395
53.34419305748443,4181302933.3386035
63.58145923517826,5100704502.605911
75.7833557275537,6527376233.607092
90.32691407861559,6608944974.2615
107.66152182937859,5704385374.548812
128.32280833295837,4589725659.018416
152.94919539177184,3405130008.5404496
182.301624121969,2224600057.3647246
217.2870675937897,1064495488.2959931
258.98655577483885,248858800.9288469
308.6885787308167,252393755.14489335
367.9289002232793,277664768.5395362
438.53801192158517,340292162.35879695
522.697694536713,399508012.0515078
623.008433583284,410475308.27923167
742.569772877841,377116152.5478705
885.0760886499872,322774542.23898524
1054.9307436310469,260080061.1535393
1257.3821484155537,197964023.48558292
1498.6859343129115,129466596.59197211
1786.2982487366016,85572691.02805132
2129.1061458465842,75742892.10533983
2537.7021913825506,85620001.11378774
3024.71176681853,83898083.0100261
3605.1831863478465,74680166.51069066
4297.052681087752,63081283.58028365
5121.698618246544,51535961.5244707
6104.602080305009,41175108.534010194
7276.134215726793,27534235.622444317
8672.494689879091,19422134.11303536
10336.830233754621,17044782.109366033
12320.567853003009,14145415.418660427
14685.003892659872,10507846.530245591
17503.19805875455,5595549.930542624
20862.230920968294,312977.1215520295
24865.894651870014,198859.88789541888
29637.900145014766,101027.59687874957
35325.69960999996,32128.608950272876
