size,abundance
1.0415332301561167e-5,57194223484964790
1.2414135226282805e-5,47560615543249520
1.4796527749127643e-5,39549275208843424
1.7636124421069424e-5,32887069806926972
2.1020667136840903e-5,27346847199679236
2.505473630873086e-5,22739695526992784
2.9862982340834334e-5,18908505933955896
3.559397725444093e-5,15722618936542794
4.242480547755848e-5,13073372003186154
5.056653565131191e-5,10870396639843162
6.027074252887195e-5,9038538806258598
7.1837280489816e-5,7515297731679109
8.562354886702066e-5,6248695863066269
1.020555353793276e-4,5195507369847192
1.2164097890566174e-4,4319784847044706.5
1.4498505832271456e-4,3591634019590073
1.728090921821949e-4,2986194700999801.5
2.059728270368654e-4,2482793287360930
2.4550100311174303e-4,2064237912212476
2.9261501818433867e-4,1716232248609262.8
3.487706680695237e-4,1426887987056529.2
4.1570312986817276e-4,1186319379870900.5
4.954805779359498e-4,986306038425728.5
5.905680892746611e-4,820012494959378
7.039038129858016e-4,681754974405549.5
8.389897573783613e-4,566807429946747
0.001,471240818965908.6
0.0011919096642189727,391786644175769.94
0.0014206486476585844,325728802441442.94
0.0016932848526038827,270808562748819.97
0.0020182425800941662,225147964058759.66
0.002405562835952471,187185653287067.7
0.0028672135920577496,155623529367430.66
0.003417459589753627,129382374254349.73
0.004073303112105158,107564957885375.72
0.0048550093446113555,89425358759628.39
0.005786732557715695,74343453575315.31
0.0068972624597919184,61803705515130.33
0.008220913782480703,51377527273057.69
0.009798586586049709,42708616767475.32
0.01167903004759904,35500764832025.44
0.01392034878243707,29507718467664.227
0.016591798243085557,24524753346112.65
0.019775924672705045,20381667563185.773
0.02357111573626358,16936957135222.11
0.02809464064247647,14072974064152.43
0.03348627369452685,11691901340012.105
0.03991261323518811,9712407146303.814
0.047572229439254814,8066863733828.357
0.05670180001709014,6699035722884.4795
0.06758342341898124,5562158639607.659
0.08055333551408664,4617341836581.11
0.09601229908431325,3832241045588.1206
0.11443798716247544,3179955039788.81
0.13639974285272122,2638108558290.113
0.16257617170314118,2188090029620.941
0.19377611022469723,1814417939517.093
0.23096361847157754,1504214103482.0579
0.2752877689392569,1246765776150.538
0.32811815223997987,1033161582530.1494
0.3910871966605041,855988794666.8635
0.4661406092519613,709081587616.1652
0.5555974970523325,587311662724.0006
0.6622220261525474,486414083984.3505
0.7893088328298905,402842384474.66675
0.9407848259033451,333648006072.84296
1.1213305259447608,276379971391.1905
1.3365246906573038,229001380907.71722
1.5930166952617133,189819904600.50436
1.8987319943446064,157429915944.82678
2.2631170138211023,130664313551.25665
2.6974310400317547,108554406005.94098
3.2150941251780827,90296511457.42969
3.8321017591734003,75224159927.34172
4.567519121029303,62784963664.50126
5.444070181859779,52521287052.94393
6.488839862445011,44054571025.87759
7.7341109416175176,37074374677.55575
9.218361575455619,31334251104.942413
10.987454250050387,4391428351.282167
13.096052905798894,4393251460.493213
15.609312021544678,4352894872.271052
18.604889850288473,4307278606.339318
22.17534801428833,4305595712.049915
26.43101160564924,4423275660.263697
31.50337816785719,4601764868.532816
37.54918089381402,4625842864.744892
44.75523159084328,4587408895.585853
53.34419305748443,4781009815.846353
63.58145923517826,5791431860.516834
75.7833557275537,7471708651.6710205
90.32691407861559,7857495235.62863
107.66152182937859,7158171182.707311
128.32280833295837,6250396989.765458
152.94919539177184,5151695648.219823
182.301624121969,3868636893.343125
217.2870675937897,2206279796.2841926
258.98655577483885,430139472.6199881
308.6885787308167,426026212.96829754
367.9289002232793,475651311.0422375
438.53801192158517,562625823.890389
522.697694536713,436675178.83388954
623.008433583284,475432710.5793543
742.569772877841,461937428.7446421
885.0760886499872,420285802.52939737
1054.9307436310469,357878307.6179344
1257.3821484155537,291574620.64930815
1498.6859343129115,219835646.77931526
1786.2982487366016,131016137.61531612
2129.1061458465842,94519387.09845313
2537.7021913825506,100528872.48830214
3024.71176681853,96429852.83452176
3605.1831863478465,84543513.74031803
4297.052681087752,70664553.00940788
5121.698618246544,57233094.63164355
6104.602080305009,45147441.89375256
7276.134215726793,29021745.536947433
8672.494689879091,18522978.897463482
10336.830233754621,13905667.285530709
12320.567853003009,9498739.875792304
14685.003892659872,5511390.674011083
17503.19805875455,2209997.4749275534
20862.230920968294,434782.45829717687
24865.894651870014,288265.24060107936
29637.900145014766,154758.6885677527
35325.69960999996,52974.495166556684
